second	id	x	y	z
2344	1	-448.3774	-0.6139	52460.7219	0
2345	1	-448.3795	-0.6139	52460.7190	0
2346	1	-448.3838	-0.6139	52460.7181	0
2347	1	-448.3913	-0.6139	52460.7113	0
2348	1	-448.3952	-0.6139	52460.7089	0
2349	1	-448.3996	-0.6139	52460.7016	0
2350	1	-448.4039	-0.6139	52460.6990	0
2355	1	-448.3603	-0.6139	52460.6622	0
2356	1	-448.3640	-0.6139	52460.6593	0
2357	1	-448.3658	-0.6139	52460.6847	0
2358	1	-448.3580	-0.6139	52460.6611	0
2359	1	-448.3621	-0.6139	52460.6591	0
2360	1	-448.3547	-0.6139	52460.6519	0
2361	1	-448.3508	-0.6139	52460.6427	0
2362	1	-448.3374	-0.6139	52460.6394	0
2364	1	-448.3137	-0.6139	52460.6293	0
2365	1	-448.3060	-0.6139	52460.6205	0
2370	1	-448.3137	-0.6139	52460.6072	0
2371	1	-448.3141	-0.6139	52460.6003	0
2378	1	-448.2914	-0.6139	52460.5786	0
2379	1	-448.2992	-0.6139	52460.5782	0
2380	1	-448.3134	-0.6139	52460.5846	0
2381	1	-448.3205	-0.6139	52460.5872	0
2382	1	-448.3327	-0.6139	52460.5816	0
2383	1	-448.3450	-0.6139	52460.5730	0
2384	1	-448.3527	-0.6139	52460.5699	0
2385	1	-448.3633	-0.6139	52460.5688	0
2386	1	-448.3653	-0.6139	52460.5685	0
2387	1	-448.3673	-0.6139	52460.5685	0
2388	1	-448.3695	-0.6139	52460.5686	0
2389	1	-448.3604	-0.6139	52460.5622	0
2390	1	-448.3611	-0.6139	52460.5598	0
2391	1	-448.3646	-0.6139	52460.5524	0
2392	1	-448.3698	-0.6139	52460.5563	0
2393	1	-448.3733	-0.6139	52460.5579	0
2394	1	-448.3783	-0.6139	52460.5586	0
2395	1	-448.3832	-0.6139	52460.5523	0
2396	1	-448.3916	-0.6139	52460.5435	0
2397	1	-448.3972	-0.6139	52460.5402	0
2398	1	-448.3966	-0.6139	52460.5390	0
2399	1	-448.3931	-0.6139	52460.5387	0
2400	1	-448.3885	-0.6139	52460.5321	0
2401	1	-448.3744	-0.6139	52460.5297	0
2402	1	-448.3649	-0.6139	52460.5223	0
2403	1	-448.3555	-0.6139	52460.5196	0
2404	1	-448.3523	-0.6139	52460.5187	0
2405	1	-448.3504	-0.6139	52460.5185	0
2406	1	-448.3552	-0.6139	52460.5186	0
2407	1	-448.3540	-0.6139	52460.5121	0
2408	1	-448.3474	-0.6139	52460.5031	0
2409	1	-448.3460	-0.6139	52460.4998	0
2410	1	-448.3382	-0.6139	52460.4988	0
2411	1	-448.3323	-0.6139	52460.4985	0
2412	1	-448.3228	-0.6139	52460.4919	0
2413	1	-448.3102	-0.6139	52460.4895	0
2414	1	-448.3071	-0.6139	52460.4754	0
2415	1	-448.3050	-0.6139	52460.4637	0
2416	1	-448.3028	-0.6139	52460.4595	0
